Sector,Longitud,Curva,Pendiente
1,"393,28",0,0
2,"33,45","-21,5",0
3,"8,93",0,0
4,"96,99",0,"0,005"
5,"120,89",111,"0,005"
6,"13,03",111,"0,0525"
7,"144,88",0,"0,0525"
8,"89,29",83,"0,0525"
9,"170,04",0,"0,0525"
10,"41,59",0,"0,0146"
11,"69,5",-88,"0,0146"
12,"80,89",0,"0,0146"
13,"70,79",-36,"0,0146"
14,"113,98",0,"0,0146"
15,"24,93",66,"0,0146"
16,"206,3","320,23","0,0146"
17,"57,15",33,"0,0146"
18,"11,77",0,"0,0146"
19,"224,47",0,"-0,009"
20,63,0,"-0,07249"
21,"57,76",41,"-0,07249"
22,"31,45",0,"-0,07249"
23,"51,14",-22,"-0,07249"
24,"142,06","-187,66","-0,07249"
25,"21,52","-187,66","0,028"
26,"175,33",-111,"0,028"
27,"118,23",0,"0,028"
28,"395,89",-600,"0,028"
29,"23,76",-18,"-0,02925"
30,"42,24",0,"-0,02925"
31,"70,94",0,"0,02773"
32,"100,05",88,"0,02773"
33,"59,12",0,"0,02773"
34,"105,21",0,"-0,07305"
35,"32,21",25,"-0,07305"
36,"66,28",0,"-0,07305"
37,"3,93",0,"-0,02925"
38,"29,1",-18,"-0,02925"
39,"260,3",0,"-0,02925"
40,"519,86",0,"-0,03067"
41,"187,37",0,0
42,"68,93",-115,0
43,"166,87",-115,"0,0454"
44,"34,74",0,"0,0454"
45,"41,17",-55,"0,0454"
46,"83,01",0,"0,0454"
47,"153,33",0,0
